nombre,tipo,precio,barrio,lat,long
Restaurante La Malontina,restaurante,Medio,Embajadores,40.41175675,-3.6954293222344576
Restaurante Étimo by Begoña Fraire,restaurante,Alto,No encontrado,,
Caro Club,restaurante,Alto,No encontrado,,
Sushi Tokami,restaurante,Medio,Rios Rosas,40.4458894,-3.6955555
Quispe Madrid,restaurante,Medio,Recoletos,40.4217288,-3.6879591
NAP Lavapies,restaurante,Medio,Embajadores,40.4109231,-3.7004684
Mercado de San Ildefonso,restaurante,Medio,Universidad,40.42415565,-3.700857418597951
Bresca,restaurante,Bajo,No encontrado,,
Trattoria da Alfredo,restaurante,Medio,No encontrado,,
Piccolina,restaurante,Medio,No encontrado,,
Los Grifos,restaurante,Medio,No encontrado,,
El Horno Azul,restaurante,Bajo,Palacio,40.4216345,-3.7100146
The Spanish Farm,restaurante,Medio,No encontrado,,
Dolores y Lola,restaurante,Medio,Universidad,40.4290217,-3.7048621
Trattoria Popolare Fratelli Figurato,restaurante,Medio,Universidad,40.4274131,-3.7000906
Aboca Restobar,restaurante,Bajo,Simancas,40.4397477,-3.6322141
Brew Wild Pizza Bar,restaurante,Medio,Cortes,40.4147419,-3.6995268
Palki Indian Restaurant,restaurante,Medio,Casa de Campo,40.4276743,-3.7186385
Ponja Nikkei,restaurante,Alto,Justicia,40.4224372,-3.6934129
El miniBAR,restaurante,Bajo,Palacio,40.4162893,-3.7091977
Murillo Café - Restaurante,restaurante,Medio,Jerónimos,40.413041,-3.6913164
Mano De Santa,restaurante,Alto,Lista,40.4340894,-3.6765661
La Taberna de Mister Pinkleton,restaurante,Medio,No encontrado,,
Il Boccone,restaurante,Medio,Delicias,40.3989517,-3.6869451
Grosso Napoletano,restaurante,Medio,No encontrado,,
Dog & Fox Urban Kitchen,restaurante,Medio,No encontrado,,
La Taberna De Moncloa,restaurante,Bajo,Gaztambide,40.4351912,-3.7144425
La Sifonería,restaurante,Medio,Casa de Campo,40.4256682,-3.7147338
O`pulpo,restaurante,Medio,Embajadores,40.41281225,-3.7018683059565936
Gandarío,restaurante,Bajo,No encontrado,,
Celicioso by Only YOU Hotels,restaurante,Medio,Justicia,40.4220636,-3.6956952
Restaurante El Abuelito,restaurante,Medio,No encontrado,,
Totò E Peppino,restaurante,Medio,No encontrado,,
Los Porfiados,restaurante,Medio,Embajadores,40.4101148,-3.6989646
Jauja Café,restaurante,Medio,Embajadores,40.410586,-3.7062889
Tsukuri Soba,restaurante,Medio,Argüelles,40.4310638,-3.7146995
Manzoni Trattoria,restaurante,Medio,Castillejos,40.4621959,-3.6911748
Asador Nuevo Porche,restaurante,Medio,Timón,40.4713093,-3.5825308
Il Cratere del Gusto,restaurante,Medio,Argüelles,40.4295758,-3.7191152
Restaurante Justo a tu Gusto,restaurante,Medio,No encontrado,40.5355406,-3.6369201
Asian Army,restaurante,Medio,No encontrado,,
Almalibre Açaí House Madrid,restaurante,Medio,Justicia,40.4211249,-3.6974103
Sr. Ito Lab,restaurante,Medio,No encontrado,,
Mafrens Healthy Food,restaurante,Medio,Embajadores,40.4099472,-3.7074617
Cervecería La Mayor,restaurante,Medio,Palacio,40.415035450000005,-3.712047951670306
Trinakria,restaurante,Bajo,Prosperidad,40.4476193,-3.668826
Queen Burger las Tablas,restaurante,Medio,Valverde,40.5093876,-3.6783414
Don Giovanni,restaurante,Medio,No encontrado,,
Osteria Bravissimo,restaurante,Alto,Casa de Campo,40.4294078,-3.721906
La Pulpería De Victoria,restaurante,Medio,No encontrado,,
DokiDOki,restaurante,Medio,Recoletos,40.4210879,-3.6898191
Alcaravea,restaurante,Medio,No encontrado,,
Lamucca de Almagro,restaurante,Medio,Justicia,40.4283158,-3.6952621
Matador,restaurante,Bajo,No encontrado,,
La Bajada Street Food,restaurante,Medio,No encontrado,,
Pomodoro e Basilico,restaurante,Medio,Acacias,40.3972382,-3.7033722
Grosso Napoletano,restaurante,Bajo,No encontrado,,
Bresca,restaurante,Medio,No encontrado,,
Gagos pizza,restaurante,Bajo,No encontrado,,
Larepera,restaurante,Bajo,No encontrado,40.6573029,-4.6998653
Artemisa Sol-Gran Via,restaurante,Medio,Sol,40.419207,-3.7029076
FORNERIA BALLARO,restaurante,Medio,Trafalgar,40.437811,-3.6998016
