,Unnamed: 0,restaurante,gastronomia,precio,opinion,reseña,ubicacion,punto,barrio,lat,long
127,127,Guasa Madrid,Fusión,Medio,75 opiniones,Fenomenal,No disponible,POINT EMPTY,No encontrado,,
128,128,Lamonarracha-Chamberí,Japonesa,Medio,91 opiniones,Un japonés diferente con platos realmente buenos y un trato espectacular,"C. de Alonso Cano, 53, 28003 Madrid",POINT (-3.6974228 40.4428631),Rios Rosas,40.4428631,-3.6974228
129,129,Oven mozzarella Bar Las Tablas,Italiana,Medio,1361 opiniones,Comida deliciosa y excelente servicio,"Esquina con, Calle San Juan de Ortega, C. de Hontanás, 36, 28050 Madrid",POINT EMPTY,No encontrado,,
130,130,Cafe Grill La Luna,Italiana,Medio,94 opiniones,15.1 km,"C. de Pablo Picasso, 13, 28100 Alcobendas, Madrid",POINT (-3.6377026 40.5425173),No encontrado,40.5425173,-3.6377026
131,131,Yakiniku Rikyu,Japonesa,Medio,267 opinionesCierra en 2 minutos,Para repetir sin duda,"P.º de la Castellana, 15, 28046 Madrid",POINT (-3.690173 40.4280979),Almagro,40.4280979,-3.690173
132,132,Empanadas Malvón,Latina,Medio,86 opiniones,Empanadas de 10,No disponible,POINT EMPTY,No encontrado,,
133,133,Pante Cucina Siciliana,Italiana,Medio,194 opiniones,Delicioso,"C. de Villanueva, 21, 28001 Madrid",POINT (-3.6849051 40.4224831),Recoletos,40.4224831,-3.6849051
134,134,La Gaditana Castellana,Internacional,Medio,1971 opiniones,Con ganas de volver!,"P.º de la Castellana, 56, 28046 Madrid",POINT (-3.6897359 40.4656834),Castillejos,40.4656834,-3.6897359
135,135,Hddn Premium Mixology & Cuisine,Bares y pubs,Alto,47 opiniones,lugar especialmente bonito,"Pl. de Prta Cerrada, 7, 28005 Madrid",POINT EMPTY,No encontrado,,
136,136,Teta & Sopa,Japonesa,Medio,19 opiniones,Comida sorprendente,No disponible,POINT EMPTY,No encontrado,,
137,137,RESTAURANTE DOLCE VITA COSLADA,Mediterránea,Medio,420 opiniones,13.6 km,"C. de Venezuela, 1, 28823 Coslada, Madrid",POINT EMPTY,No encontrado,,
