restaurante,gastronomia,precio,opinion,reseña,ubicacion,Lat&Lon
Gramabar,Americana,Medio,1656 opiniones,Riquisimoooo,,"(44.933143, 7.540121)"
BIZZO! Moncloa,Italiana,Bajo,169 opiniones,¡¡¡DE LOS MEJORES !!!,"C. de Andrés Mellado, 77, 28003 Madrid","(40.4395224, -3.7141628)"
Sibuya Urban Sushi Bar Chueca,Japonesa,Medio,1014 opiniones,Excelente calidad/precio,"C. de Santo Tomé, 5, 28004 Madrid","(40.4236412, -3.6950547)"
Tacoctelería,Bares y pubs,Medio,114 opiniones,Fantástico!,"C. de Valverde, 7, 28004 Madrid","(40.420994, -3.7022014)"
Malafemmena,Italiana,Medio,1512 opiniones,Italiano con toques diferentes,"C. del Dr. Esquerdo, 13, 28028 Madrid","(40.42642025000001, -3.6681965228846956)"
Mamma Maria,Italiana,Medio,439 opinionesCierra en 6 minutos,11 km,"C. Palomares, 1, 28911 Leganés, Madrid","(40.3293631, -3.7648207)"
La Burbujería,Mediterránea,Medio,144 opiniones,"Qué rico todo, qué amables","C. del Barco, 7, 28004 Madrid","(40.4213047, -3.7028788)"
El 11 Resto-Brunch,Francesa,Medio,47 opiniones,Recomendable,,"(44.933143, 7.540121)"
Grosso Napoletano Senza Glutine,Italiana,Medio,66 opiniones,Gran opción para celiacos,,"(44.933143, 7.540121)"
izakaya Han,Japonesa,Medio,469 opiniones,Siuuuuuuu,"C. de San Bartolomé, 10, 28004 Madrid","(40.4218369, -3.6984647)"
Sandy Barracane,Italiana,Medio,78 opiniones,Sin palabras.,,"(44.933143, 7.540121)"
Mamma Maria,Italiana,Medio,439 opiniones,11 km,"C. Palomares, 1, 28911 Leganés, Madrid","(40.3293631, -3.7648207)"
Cafeteria Neila,Bar,Bajo,133 opiniones,ideal para la cervecita y el pincho,"Calle de Sta. María, 41, 28014 Madrid","(40.41265, -3.6958247)"
Taberna de Peñalver,Marisco,Medio,1123 opiniones,Gran servicio y comida,"C. del Conde de Peñalver, 90, 28006 Madrid","(40.4337774, -3.6747828)"
Santita Virgen de los Peligros,Mexicana,Medio,1086 opiniones,Fantástico postre,"C. de la Virgen de los Peligros, 10, 28013 Madrid","(40.418907, -3.6995762)"
La Piramide,Internacional,Medio,230 opiniones,Fantástica celebración familiar,,"(44.933143, 7.540121)"
La Piccola Trattoria,Italiana,Medio,332 opiniones,Insuperable,"C. de la Torrecilla del Leal, 15, 28012 Madrid","(40.4105895, -3.6994005)"
Lamiak,Bar,Bajo,313 opiniones,"Genial, rico, barato y buen ambiente",,"(44.933143, 7.540121)"
Emma y Julia,Italiana,Medio,543 opiniones,Buen italiano en plena Cava Baja,"C. de la Cava Baja, 19, 28005 Madrid","(40.4125001, -3.7089636)"
Pizzeria Fratelli,Italiana,Medio,466 opiniones,Muy buena experiencia,,"(44.933143, 7.540121)"
Casa Lucas,Mediterránea,Medio,1381 opiniones,"Excelente, un clásico",,"(44.933143, 7.540121)"
MACAO Príncipe,Japonesa,Medio,376 opiniones,Platos diferentes.,"C. del Príncipe, 16, 28012 Madrid","(40.4154674, -3.7003953)"
Vinos de Bellota,Mediterránea,Medio,884 opiniones,Siempre es un acierto,"C. de Antonio Acuña, 27, 28009 Madrid","(40.42075165, -3.6788720207356844)"
Maruzzella,Italiana,Medio,1022 opiniones,Comida 100% italiana,"C. de Raimundo Fernández Villaverde, 28, 28003 Madrid","(40.44604875, -3.6995503594813393)"
Cervecería El Caño,Bar,Bajo,269 opiniones,Cada vez que vengo a Madrid repito,"C. de Cobos de Segovia, 30, 28005 Madrid","(40.4060379, -3.7191486)"
Acqua In Bocca Trattoria,Italiana,Medio,90 opiniones,Italiano increíble. Excelente elección,"C. de Arias Montano, 30, 28007 Madrid","(40.4097349, -3.6705178)"
Sto Globo Sushi Room,Japonesa,Medio,346 opinionesCierra en 2 minutos,Siguen siendo los mejores,"Calle de Sta. Teresa, 8, 28004 Madrid","(40.4257801, -3.6959139)"
Sazón-arte,Mediterránea,Medio,313 opiniones,Estupenda cena de tapeo,"C. de Menorca, 19, local izquierdo bajo g, 28009 Madrid",
Sr. Ito,Japonesa,Medio,975 opiniones,Sabor y atención excelente,,"(44.933143, 7.540121)"
Rioko Nikkei Sushi Bar,Japonesa,Medio,67 opiniones,Un restaurante especial y acogedor,"Carrer de Ciscar, 49, bajo, 46005 Valencia",
Cruda Restaurante,Mexicana,Medio,533 opiniones,Estupendo,,"(44.933143, 7.540121)"
Trattoria Pizzeria A'Fenestella,Italiana,Medio,265 opiniones,Se solucionó el malentendido,"C. de Torquemada, 25, 28043 Madrid","(40.4684417, -3.6384778)"
Restaurante Gaudium Chamberí,Mediterránea,Medio,175 opiniones,Original y clásico,"C. de Sta. Feliciana, 14, 28010 Madrid","(40.4331934, -3.6990576)"
Isabella Restaurante,Italiana,Medio,51 opiniones,Muy agradable a la vista y paladar,"C. de Puigcerda, 4, 28001 Madrid","(40.4238727, -3.6863008)"
I Malavoglia,Italiana,Medio,52 opiniones,Sitio tranquilo. Buenas pizzas,,"(44.933143, 7.540121)"
Guasa Madrid,Fusión,Medio,75 opiniones,Fenomenal,,"(44.933143, 7.540121)"
Lamonarracha-Chamberí,Japonesa,Medio,91 opiniones,Un japonés diferente con platos realmente buenos y un trato espectacular,"C. de Alonso Cano, 53, 28003 Madrid","(40.4428631, -3.6974228)"
Oven mozzarella Bar Las Tablas,Italiana,Medio,1361 opiniones,Comida deliciosa y excelente servicio,"Esquina con, Calle San Juan de Ortega, C. de Hontanás, 36, 28050 Madrid",
Cafe Grill La Luna,Italiana,Medio,94 opiniones,15.1 km,"C. de Pablo Picasso, 13, 28100 Alcobendas, Madrid","(40.5425173, -3.6377026)"
Yakiniku Rikyu,Japonesa,Medio,267 opinionesCierra en 2 minutos,Para repetir sin duda,"P.º de la Castellana, 15, 28046 Madrid","(40.4280979, -3.690173)"
Empanadas Malvón,Latina,Medio,86 opiniones,Empanadas de 10,,"(44.933143, 7.540121)"
Pante Cucina Siciliana,Italiana,Medio,194 opiniones,Delicioso,"C. de Villanueva, 21, 28001 Madrid","(40.4224831, -3.6849051)"
La Gaditana Castellana,Internacional,Medio,1971 opiniones,Con ganas de volver!,"P.º de la Castellana, 56, 28046 Madrid","(40.4656834, -3.6897359)"
Hddn Premium Mixology & Cuisine,Bares y pubs,Alto,47 opiniones,lugar especialmente bonito,"Pl. de Prta Cerrada, 7, 28005 Madrid",
Teta & Sopa,Japonesa,Medio,19 opiniones,Comida sorprendente,,"(44.933143, 7.540121)"
RESTAURANTE DOLCE VITA COSLADA,Mediterránea,Medio,420 opiniones,13.6 km,"C. de Venezuela, 1, 28823 Coslada, Madrid",
Restaurante Morgana,Mediterránea,Medio,978 opiniones,Buena cena de gastronomía gallega,"C. de la Libertad, 5, 28004 Madrid","(40.4204587, -3.6974459)"
Macuto / Auténtico Latino,Mexicana,Medio,41 opiniones,Recomendable,"C. del Espíritu Santo, 40, 28004 Madrid","(40.4256072, -3.7051152)"
La Rollerie- Calle Mayor,Americana,Medio,766 opiniones,Desayuno rico,,"(44.933143, 7.540121)"
