restaurante,ubicacion,Lat&Lon
Fasfú Burguers,"C. de San Marcos, 24, 28004 Madrid","(40.4213416, -3.6983741)"
MEGU,"Tr.ª de San Isidoro de Sevilla, 28, 28005 Madrid",
Fratelli d'italia Lavapiés,"C. del Sombrerete, 1, 28012 Madrid","(19.3386613, -99.0036553)"
La Taberna de Francesco,"C. de Ríos Rosas, 53, 28003 Madrid","(40.4419464, -3.696326724028965)"
Bowlers Kitchen,None,"(44.933143, 7.540121)"
El Brasero de Don Pedro,"Av. de Aragón, 358, 28022 Madrid","(40.4493265, -3.5712382243055556)"
nonsolocaffé,"C. de Ríos Rosas, 52, 28003 Madrid","(40.441531499999996, -3.6958216905887156)"
Solito Taqueria,"C. de la Pasa, 4, 28005 Madrid","(40.4142895, -3.708957)"
Restaurante La Rita,None,"(44.933143, 7.540121)"
Asia Te,"C. de Agustín de Foxá, 27, 28036 Madrid","(40.4707986, -3.6852032)"
Diaz y Larrouy,"C. de Embajadores, 65, 28012 Madrid","(40.40392185, -3.701302795617484)"
Mad by Robleño,"Calle de Diego de León, 26, 28006 Madrid","(40.4345345, -3.682570563157822)"
El Cunzato,"C. de Sta. Isabel, 5, 28012 Madrid","(40.4117321, -3.6984768)"
Crudo,None,"(44.933143, 7.540121)"
La Lonja Restaurante,None,"(44.933143, 7.540121)"
Federica By Chef Oswaldo Sanchez,None,"(44.933143, 7.540121)"
